listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,property_type,room_type,accommodates,bedrooms,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,TV,Internet,Shampoo,Suitable for Events,Washer / Dryer,Pool,Hair Dryer,Smoke Detector,Cable TV,Laptop Friendly Workspace,Cat(s),Doorman,Washer,Heating,Breakfast,Safety Card,Hot Tub,Pets live on this property,Free Parking on Premises,Dryer,Essentials,Iron,Wireless Internet,Dog(s),Pets Allowed,Buzzer/Wireless Intercom,Gym,24-Hour Check-in,Fire Extinguisher,Hangers,Elevator in Building,Other pet(s),Lock on Bedroom Door,Wheelchair Accessible,Indoor Fireplace,Smoking Allowed,Kitchen,First Aid Kit,Air Conditioning,Family/Kid Friendly,Carbon Monoxide Detector,visitors
6038828,"Family flat, heart of Paris 9",28796099,2015.3.5,"Paris, Ile-de-France, France",within a few hours,100%,f,2,t,t,Opera,Paris,Apartment,Entire place,4,2,150.00$,91,9,9,10,10,10,10,f,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"[32426431, 40781987, 39087774, 25380947, 60396348, 24874165, 21869206, 55544804, 201375380, 1267118]"
11604494,Eiffel Tower - Charming 1 BD apt,44200813,2015.9.14,"Paris, Ile-de-France, France",a few days or more,0%,t,1,t,t,Palais-Bourbon,Paris,Apartment,Entire place,2,1,179.00$,100,10,10,10,10,10,10,f,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,"[123533569, 694299, 436762, 140036844, 88543986, 23219995, 7335506, 50860222, 121547385, 139509076, 38844375, 20078302, 74890732, 141496547, 129294024, 40165028, 139509076, 41585318, 63832742, 85037212, 250895929, 119542690, 167066203, 149063215, 294974687, 63969245, 79084996, 239633142, 7182405, 58743022, 125493451, 166816690, 66642979, 85973014, 64426726, 68995902, 112245134, 148854193, 168568505, 184666879, 54394675, 139336303, 47716630, 209503048, 222891940, 18600807, 151653756, 18049019, 27806447, 45484620, 197546494, 10221074, 54002592, 203550554, 136487470, 3730856, 64611476, 18760026, 130047430, 287144334, 121577301, 181348505, 19759174, 304199692, 64995688, 131692688]"
38938717,_¦âº_¼_¨_°_·_¥_¸â__¤_¸_­_¥_¿___¨_±_ª_¥___½_¥â¦_¬_¥_¯â_/50_¥_±â__¦âº_¼_¨_°_·_¦__â_¬_©_«___¥_¤_©_©â_¢â¦_¦_³_³_¦_±__/BTS_¥_½_­_¨â__¬_§_«â_¢&EM_¥â¢â__¥____/T21_¥â¢â__¥___º/_¥âºâº_©___¢_¤_½âº/_¦_¡_¹_§_½â__§â_¢_¾_¤_¸_½_¥_®_«5,296659086,2019.9.21,China,within an hour,100%,t,22,t,t,Khlong Toei,Bangkok,Apartment,Entire place,3,1,655.00$,99,10,10,10,10,10,10,t,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,"[300431814, 298688284, 140948775, 298991424, 323826813, 302075475, 303432841, 299224243, 100647027, 299222368, 304448918, 255526143, 49473210, 307779053, 298688284, 306098869, 300939529, 255526143, 184508394, 317279734, 103026828]"
9839112,"original 1920's house , entire home, pool & garden",50666938,2015.12.6,"Cape Town, Western Cape, South Africa",within a few hours,75%,f,2,t,t,Ward 57,Cape Town,House,Private room,5,3,2400.00$,100,10,10,10,10,10,10,f,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"[7335659, 84291638]"
2301710,"IPANEMA, Rio de Janeiro, Brasil",11755633,2014.1.29,"Rio, Rio de Janeiro, Brazil",a few days or more,0%,f,2,t,t,Ipanema,Rio de Janeiro,House,Entire place,8,3,5430.00$,83,8,8,9,8,10,8,f,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[153839972, 6047937, 9708320, 9701270, 1034800, 85337084, 53832144]"
37504474,Disinfected!_¢__â¦60m___² Apartment_¢__â¦ AC/NESPRESSO/ NETFLIX,7980429,2013.8.6,"Istanbul, Istanbul, Turkey",within an hour,100%,t,24,t,t,Beyoglu,Istanbul,Apartment,Entire place,4,1,481.00$,99,10,10,10,10,10,10,t,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,"[223315246, 1351580, 158470509, 276393829, 7580871, 36790518, 10164762, 99370563, 10285890, 47076024, 47616771, 114193122, 295298536, 62268149, 29842749, 36790518, 42713553, 21019646, 150985686, 277996, 81796861, 316011489, 314475716, 92972148, 10285890, 80674559, 207674597, 47832787, 9357142, 10285890, 61967005, 242886621, 18716244, 35339, 66903797, 5410996, 53978811, 18153546, 829273, 371354369, 209491808, 171973995, 1256317, 375097699]"
45433638,_¦â__º_¨_§â__¦__â__¨_±_ª_¥_____¥_°___©___¢_¦â__°_¨_£___¤_¿_®400_¥â__½_¥_¤_§_©___¢_§_©___¥â¦_©_¦___¿_¤_¸â_¬_¥_»_³_¨_¨_­_¨_¨___¥â¦_¨_¨_º_«_©___¡_©_º_»_¥_°â¡_¥â__±k_¨___¡_¦_____¦_°_´_§â¦â_¢ _¦â__¹_¤_¾_¿_¨__â__©___©_¤_¹_¾_¦_·_¨ _¥â_¬_¼_¥_¾â__¤_¸â_¬_¨_©_¦,367486503,2020.9.14,Hong Kong,a few days or more,10%,f,3,t,t,Yau Tsim Mong,Hong Kong,Apartment,Entire place,10,2,351.00$,60,6,5,6,7,10,4,f,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,"[171068618, 108398408]"
26886792,Little Bears B&B Ostia - Rome,31707718,2015.4.22,"Rome, Lazio, Italy",within an hour,100%,f,1,t,t,X Ostia/Acilia,Rome,Apartment,Entire place,3,2,33.00$,94,10,10,10,10,10,10,f,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,"[16553381, 11907335, 185371398, 40058047, 27261941, 26144785, 92864089, 263201647, 133516180, 266457354, 143557844, 29648633, 137272784]"
22920259,Excelente estancia en zona centro (Tlatelolco),169696562,2018.1.24,"Mexico City, Mexico City, Mexico",within an hour,100%,f,1,t,t,Cuauhtemoc,Mexico City,Apartment,Private room,2,1,450.00$,96,9,10,10,10,10,10,f,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,"[189216675, 290626848, 69172084, 254731398, 101107189, 119774532, 241915625, 243213648, 87398392, 326420926, 50003456, 186968381, 137399482, 118690253, 99069380, 178284904, 162836675, 208071482, 239877673, 207653129, 267196773, 334158220, 154618104, 176566590, 107467158, 289290780, 325632869, 220632311, 156244006, 32677380, 131520648, 213643558, 213643558, 232158648, 33948213, 127449274, 213643558, 108208744, 214902553, 270577820, 279031826, 132251704, 187510415, 311439668, 24908471, 213337321, 87165439, 2400666, 228542215, 173424699, 263338866, 127099415, 239437318, 198848737, 132895550, 203534351, 108355616, 168354061, 106436375, 162235848, 173434000, 237911659, 270577820, 148847778, 205281281, 125395306, 48183778, 162802704, 39489889, 63003769, 65802078, 166099266, 122007885, 63164759, 237891144, 192094727, 49629347, 118525339, 103285119, 177676347, 69382626, 18888571, 22517754, 48754092, 138935534, 120346436, 105698315, 120346436, 187138065, 122909306, 64166081, 68881084, 184267978, 182704189, 146063838, 96736684, 120346436, 195907540, 88005129, 88005129, 199554976, 50531943, 147552644, 138367625, 198052381, 120346436, 202706423, 210010356, 172089063, 120346436, 120346436, 104183312, 120346436, 135724764, 220751990, 218527181, 107895894, 120346436, 167428807, 227430041, 118805026, 230209977, 102981388, 112522436, 49494229, 231681241, 18777859, 142725000, 248756716, 192390122, 181385454, 127499240, 251867319, 251867319, 269239227, 293810830]"
25179983,Bellavista Trastevere,190263390,2018.5.18,"Rome, Lazio, Italy",a few days or more,0%,t,1,t,t,I Centro Storico,Rome,Apartment,Entire place,2,1,59.00$,97,10,10,10,10,10,10,t,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,"[126207967, 3504455, 39708378, 116825067, 74299672, 73702630, 270122170, 6467944, 22166324, 42115564, 58373822, 104358350, 1387438, 110813513, 18489479, 37355054, 75635676, 261919003, 22048087, 188081355, 108847061, 4228844, 25816143, 194958226, 48113689, 27713847, 137572438, 2485320, 78097909, 10204699, 119592093, 13986386, 147980596, 53963707, 194884637, 14128357, 97592581, 54382743, 219489141, 221792826, 56718462, 25067041, 38564564, 129407054, 18300202, 39282807, 200116270, 213134356, 210569314, 17627652, 1181441, 101931925, 17345572, 56214887, 241319879, 40321806, 5617406, 243321646, 137358749, 38131355, 158184857, 32104140, 5115459, 20736737, 294254289, 29569974, 37735852, 174396802, 139116383, 35545376, 7898586]"
